                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.38709,                0.29677,                 0.1568,                 0.2618,                0.99836,                0.99891,                0.99902,                  0.995,                 0.9709,                0.99891,                0.99902,                  0.995,                0.99444,                0.27596,                0.12029,                0.01989,                0.17023,                0.76553,             0.00029723,             0.00029723,             0.00029723
                     85,                0.37923,                0.28675,                0.15274,                0.26154,                0.99714,                 0.9991,                0.99902,                  0.995,                0.97217,                 0.9991,                0.99902,                  0.995,                0.99414,                0.27062,                0.12624,                0.02036,                0.16874,                0.75961,             0.00028072,             0.00028072,             0.00028072
                     86,                0.37528,                0.28141,                0.15295,                0.25621,                0.99545,                0.99958,                0.99902,                  0.995,                0.97449,                0.99958,                0.99902,                  0.995,                0.99442,                0.26922,                 0.1176,                0.01977,                0.16603,                0.76023,             0.00026422,             0.00026422,             0.00026422
                     87,                0.37389,                0.27106,                0.15097,                0.25954,                0.99175,                0.99897,                0.99902,                  0.995,                0.97373,                0.99897,                0.99902,                  0.995,                0.99441,                0.26554,                0.12356,                0.02095,                0.16497,                0.75741,             0.00024772,             0.00024772,             0.00024772
                     88,                0.37547,                0.28348,                0.14926,                0.25488,                0.98987,                0.99949,                0.99902,                  0.995,                0.97235,                0.99949,                0.99902,                  0.995,                0.99443,                0.27037,                0.12098,                0.01955,                0.16391,                0.76161,             0.00023121,             0.00023121,             0.00023121
                     89,                0.37278,                0.26148,                0.14786,                0.25561,                0.99246,                0.99964,                0.99902,                  0.995,                0.97182,                0.99964,                0.99902,                  0.995,                0.99362,                 0.2661,                0.12278,                0.02007,                0.16408,                0.75715,             0.00021471,             0.00021471,             0.00021471
                     90,                0.26396,                0.12678,                0.03802,                 0.1737,                0.92329,                0.99943,                0.99902,                  0.995,                0.97297,                0.99943,                0.99902,                  0.995,                0.99449,                0.26779,                0.12205,                0.01716,                0.16576,                0.75859,             0.00019821,             0.00019821,             0.00019821
                     91,                0.25303,                0.11981,                0.03749,                0.16671,                0.91438,                0.99958,                0.99902,                  0.995,                0.97307,                0.99958,                0.99902,                  0.995,                0.99462,                0.26083,                0.12516,                0.01704,                0.16097,                0.75208,              0.0001817,              0.0001817,              0.0001817
                     92,                0.24458,                  0.115,                0.03398,                0.16154,                0.90773,                0.99946,                0.99902,                  0.995,                0.97356,                0.99946,                0.99902,                  0.995,                0.99456,                0.25608,                0.13011,                0.01708,                0.15786,                0.74884,              0.0001652,              0.0001652,              0.0001652
                     93,                0.23611,                0.11335,                0.03446,                0.15765,                0.90055,                0.99893,                0.99904,                  0.995,                0.97446,                0.99891,                0.99902,                  0.995,                0.99459,                0.25526,                0.11523,                 0.0162,                 0.1571,                0.74718,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.2314,                0.10958,                0.03368,                0.15461,                0.89878,                0.99956,                0.99902,                  0.995,                0.97337,                0.99956,                0.99902,                  0.995,                0.99455,                0.25344,                0.10592,                0.01523,                0.15478,                0.74568,             0.00013219,             0.00013219,             0.00013219
                     95,                  0.232,                0.11254,                0.03342,                0.15498,                0.90418,                0.99971,                0.99902,                  0.995,                0.97756,                0.99971,                0.99902,                  0.995,                0.99461,                0.25333,                0.10197,                0.01462,                0.15327,                0.74565,             0.00011569,             0.00011569,             0.00011569
                     96,                0.22658,                0.10553,                0.03049,                0.15169,                0.89144,                0.99971,                0.99902,                  0.995,                0.97544,                0.99971,                0.99902,                  0.995,                0.99462,                0.25123,                0.10533,                0.01453,                0.15274,                0.74338,             9.9187e-05,             9.9187e-05,             9.9187e-05
